ds,yhat,yhat_lower,yhat_upper
2023-11-28,20653.288113358565,17992.416814895867,22966.265586171194
2023-11-29,20590.9526905681,17980.109237522513,23018.932525338958
2023-11-30,20700.191471268758,18423.885815641173,22987.353746043675
2023-12-01,20604.359033769815,18180.033174480686,22999.353865363108
2023-12-02,20611.531251400647,18190.800230594446,22983.60293633927
2023-12-03,20718.382595162046,18330.94497640616,23229.686906483035
2023-12-04,20755.1796596282,18403.971065107213,23151.65784414563
2023-12-05,20634.656413077973,18265.044676271256,23022.985492910106
2023-12-06,20567.000331754898,18087.12533822506,22864.26382691334
2023-12-07,20669.077729189656,18139.819274317568,23052.571419932887
2023-12-08,20564.331271458715,18020.470950537267,23025.911216177676
2023-12-09,20560.986369228933,18174.998610270362,22966.351544158253
2023-12-10,20655.926762447147,18164.090488373397,23173.734323932982
2023-12-11,20679.684424564635,18234.8881969035,23006.843866691037
2023-12-12,20545.309390953837,17968.922539908977,23008.23564345193
2023-12-13,20463.348830932755,18091.806549634122,22872.448929878978
2023-12-14,20551.06388417706,18062.404649923912,22803.667845981538
2023-12-15,20432.317505554034,18023.643841086516,22870.59593749229
2023-12-16,20415.770297423318,17870.78277905739,22835.67164216092
2023-12-17,20498.74495914849,17985.302886457484,22797.738591423946
2023-12-18,20512.20481029869,18021.514685627113,23073.429364011055
2023-12-19,20369.612327056937,18049.046457460434,22927.761859594506
2023-12-20,20281.897340966254,17833.05782323002,22733.732674452705
2023-12-21,20366.663735167454,17976.795987467434,22690.68389114118
2023-12-22,20248.06817164582,17820.940884459782,22787.392385857456
2023-12-23,20235.008084447825,17767.27311056453,22712.44178067854
2023-12-24,20329.165820622562,18035.194862958913,22804.999221247024
2023-12-25,20357.42436721485,17809.444600804898,22569.14362830111
2023-12-26,20233.281091344856,17745.61809143034,22512.25932274783
2023-12-27,20167.628832191993,17817.899120010265,22487.336571951073
2023-12-28,20277.96337142416,17997.086730148294,22815.91247398544
2023-12-29,20188.264728989743,17840.162380695307,22752.927939252942
2023-12-30,20207.18941715912,17946.516707860887,22660.108723643767
2023-12-31,20331.934346774768,17769.04985654483,22537.022178151426
2024-01-01,20393.21781616499,17861.849096783353,22714.042663776116
2024-01-02,20304.143408262556,17786.694848323194,22455.46687261414
2024-01-03,20275.17624813669,17741.391307397793,22699.761926363364
2024-01-04,20423.360183809866,18098.672804642516,23029.31129234471
2024-01-05,20372.209086047467,17925.596463414793,22797.41274524171
2024-01-06,20429.90911050478,18075.061014953902,22817.942783073184
2024-01-07,20593.19233476997,18234.78222886682,23213.41650375545
2024-01-08,20692.326936260866,18208.79328412149,23089.13867487699
2024-01-09,20639.98949707978,18292.359447492596,22941.01459774284
2024-01-10,20646.248680799716,18120.081717444173,22980.120226884792
2024-01-11,20827.788675009942,18604.086546559232,23326.270030538206
2024-01-12,20807.8054690809,18310.436991801056,23156.767644844804
2024-01-13,20894.212730191855,18527.11923019708,23391.085596551213
2024-01-14,21083.51765724281,18831.96907517085,23540.618302090956
2024-01-15,21205.8119929884,18709.974770509623,23582.776037302447
2024-01-16,21173.643840443416,18899.365969499297,23578.90392280563
2024-01-17,21196.999630796614,18691.20864990175,23545.187062124445
2024-01-18,21392.524776588834,19061.795505996855,23679.661069019836
2024-01-19,21383.416251294537,19130.244402780645,23989.110489054387
2024-01-20,21477.62405488441,18845.259860991682,23800.870803359907
2024-01-21,21671.722158681947,19299.66572899756,24240.631397122084
2024-01-22,21795.894332507174,19559.8493957939,24401.90505520997
2024-01-23,21762.800723374825,19512.969145187206,24185.065692318967
2024-01-24,21782.55474841066,19417.959648652646,24060.041546413315
2024-01-25,21971.93903544991,19442.233271891433,24466.70942068455
2024-01-26,21954.293829092137,19459.503749879754,24340.29014280927
2024-01-27,22037.718563905015,19556.53099588357,24428.79761182976
2024-01-28,22218.929335778543,19911.797644147493,24503.40748999633
2024-01-29,22328.253697505905,19950.821219959562,24737.549721468677
2024-01-30,22278.492730820974,19851.822273077727,24754.180540088644
2024-01-31,22279.897922403678,19938.318560575124,24632.979580226005
2024-02-01,22449.387930832323,20050.27578367682,24787.810422741462
2024-02-02,22410.43857124813,19946.93658277091,24837.42615470384
2024-02-03,22471.282997606755,20036.442370447374,24766.91931217844
2024-02-04,22628.782630575497,20372.87689626618,25033.388858442537
2024-02-05,22713.41412550138,20259.30752909759,25178.55735237444
2024-02-06,22638.138082516845,20161.913701584217,24971.170743045535
2024-02-07,22613.378842663038,20051.467076977304,25003.581473615843
2024-02-08,22756.24384203918,20535.86846400995,25064.274720379788
2024-02-09,22690.415648522445,20372.658179399587,25017.252296644652
2024-02-10,22724.353474797303,20235.54851673977,25133.632127110846
2024-02-11,22855.164553759085,20588.152418746802,25157.978249503903
2024-02-12,22913.590540115933,20526.190765779895,25130.605088590255
2024-02-13,22812.87454735795,20400.92438733939,25153.835154169123
2024-02-14,22763.738113765463,20456.685492891746,25170.09151667344
2024-02-15,22883.596565572978,20575.19543313019,25302.694820400546
2024-02-16,22796.445946189622,20329.09232683662,25106.246129203228
2024-02-17,22811.058398128094,20481.364096501122,25150.357419746306
2024-02-18,22924.846523659584,20500.62759855241,25236.13870677304
2024-02-19,22968.84207181444,20499.589023113043,25262.681686799162
2024-02-20,22856.554783610256,20444.27213233953,25273.924218145235
2024-02-21,22798.94094438792,20181.091569909742,25300.479727260004
2024-02-22,22913.610391270144,20417.441548898714,25373.348796168702
2024-02-23,22824.705440291324,20416.918135235923,25142.722104316254
2024-02-24,22841.0889214857,20305.846190200988,25154.74872183516
2024-02-25,22960.202145236035,20565.692046194185,25353.970853674335
2024-02-26,23013.038429904904,20521.108660868376,25505.571923493415
2024-02-27,22912.99827974349,20482.46794041059,25267.692347194243
2024-02-28,22870.85598390698,20695.378885120866,25370.02895324884
2024-02-29,23003.96656252967,20631.390564199555,25394.508489415843
2024-03-01,22936.146648517668,20512.94677830102,25553.50467608621
2024-03-02,22975.866562973213,20662.28400694804,25393.41281888727
2024-03-03,23120.11440820485,20760.32473855868,25429.65561714235
2024-03-04,23199.3777469065,20629.350248858384,25670.914798238056
2024-03-05,23126.508826336194,20662.52747802678,25574.32342753563
2024-03-06,23111.70292269889,20713.254275949796,25350.157895986293
2024-03-07,23271.718473588444,20835.33100558511,25618.925032022653
2024-03-08,23229.772274095183,20864.624611448984,25650.431267521
2024-03-09,23293.74662829388,20877.042291458314,25885.55714960146
2024-03-10,23460.068879832583,21162.710365906372,25836.862968872894
2024-03-11,23558.70845721758,21165.131184345955,26012.82286890448
2024-03-12,23502.056944936197,21114.675188967565,25903.297144167223
2024-03-13,23499.920304476265,21150.091663908097,25895.153293181247
2024-03-14,23668.751472426313,21402.06101965429,26132.247355211708
2024-03-15,23631.556194915924,21264.34195484447,26062.701769491203
2024-03-16,23696.10861155887,21207.357574684844,26118.271652765492
2024-03-17,23858.836684672428,21274.23818063836,26176.04456084732
2024-03-18,23949.82234363891,21505.961475483793,26453.188815799807
2024-03-19,23881.681662174866,21571.399854595587,26295.087000618023
2024-03-20,23864.55407973358,21492.906047425633,26228.10323853256
2024-03-21,24015.3288680331,21504.40441925053,26575.501426287457
2024-03-22,23957.5417660131,21530.57215348967,26471.76169797011
2024-03-23,23999.578451697358,21531.473900677913,26450.522664931705
2024-03-24,24138.545191675425,21795.295965514695,26630.134357481023
2024-03-25,24205.251868235984,21888.464682444355,26554.19463407536
2024-03-26,24113.07311028856,21627.450713196667,26327.62271551709
2024-03-27,24072.917016323136,21652.636200833433,26516.16657233698
2024-03-28,24202.430204236112,21861.941830277487,26557.36431337341
2024-03-29,24125.872688146424,21780.838329569087,26513.065006027286
2024-03-30,24152.29985498727,21650.088327174763,26627.4041180528
2024-03-31,24279.41249671382,21950.28317131247,26564.894416888204
2024-04-01,24338.52070660922,21788.49380422062,26697.00811029084
2024-04-02,24243.387949922828,21845.87816623506,26790.79897974388
2024-04-03,24205.185341772263,21795.291762729168,26709.179235681244
2024-04-04,24341.685338509295,22054.362699714406,26769.70809006291
2024-04-05,24277.128776949277,21985.568227832053,26764.913289860648
2024-04-06,24320.40283163051,21794.38011579658,26762.927741934553
2024-04-07,24468.89108103416,22036.017128081647,26755.390026470868
2024-04-08,24553.441603470048,22210.250280054566,26900.490772780162
2024-04-09,24487.219413373645,22002.868021625047,26993.02199672193
2024-04-10,24480.673151907038,22144.331640257285,26848.306620235195
2024-04-11,24650.74501709232,21960.706041871992,27019.549136436704
2024-04-12,24620.75749690973,22133.69412169319,27063.144239219335
2024-04-13,24698.614047797844,22296.381073309283,27095.928870930566
2024-04-14,24880.67434893337,22448.715543328766,27391.749726648355
2024-04-15,24996.749424490576,22664.82557758134,27345.56936690322
